Li_eGFR_500	Li_UACR_500	Li_eGFR_Monogenic	Li_UACR_Monogenic	Sheng_eGFR	Sheng_SBP	Sheng_Kidney_Function	Cippa_Acute_Injury	Cippa_Acute_Early_TF	Cippa_Acute_Mouse_Overlap	Cippa_Late_Fibrosis	Cippa_Late_Recovery	Cippa_Mid_Acute	Cippa_Late	Cippa_Late_Mouse_Overlap	Cippa_Late_TF	Cippa_Fibrosis_Branch	Cippa_Acute_Human_Specific	Cippa_Late_Human_Specific
PIK3R3	DNM3OS	SLC7A9		FAM122A			SNHG1		ACTA2	ACTA2	AK4	CYLD	EEF1A1			JKAMP		SDC4
NEAT1	DDR1	SLC2A9		ZNF793			EDN1		TAGLN2	TAGLN2	NET1	DMAP1	TCEAL8			PLPP1		PTMA
PAX8	CHN2	WNT7A		NDOR1			ZFP36L2		APOBEC3C	APOBEC3C	SELENOP	NECTIN2	PSMB1			HNRNPK		RPS19
AC019117.1	FXYD1	AGPAT2		FAM150B			LINC01187		KRT19	KRT19	MT1H	SETBP1	SET			C1GALT1C1		RACK1
COL25A1	SLC43A2	SOX18		ZKSCAN3			MAP3K8		VTCN1	VTCN1	HNF4A	ID2	EIF2S3			RN7SL8P		PSME1
NPDC1	AXL	RPS10		ATP2A1			NFKBIE		CD74	CD74	WDR72	BIN3	ANKRD13A			IMPDH2		MYL12B
CTD-3080P12.3	TRIM29	NSD1		ZNF781			HSPA5		ST6GAL1	ST6GAL1	IQGAP2	ZNF394	CSDE1			EDEM2		HSP90AB1
SLC22A14	TMIE	MYH9		SULT1A1			PELI1		ECSCR	ECSCR	TM7SF3	FGFR2	TM9SF2			PRDX2		RPL3
EYA4	SPINT1	CD81		PFN3			AC090617.6		SOD2	SOD2	SLC9A3R1	CHUK	H2AFZ			ANXA1		PRDX5
CLNK	FAM129A	POR		VKORC1L1			PLK2		APP	APP	ENPEP	TFAP2B	BCAP31			ABHD4		HINT1
SPINK8	TDGF1	STRA6		ZNF585A			SNAI1		EDN1	EDN1	AL031710.1	COLGALT1	CCT3			NONO		COX4I1
AQP7	TCF4	EHHADH		IGF2R			EIF1		ITM2C	ITM2C	UPP2	TUBA1C	PROM1			VCL		HSP90AA1
EGFL7	KCNK5	PRKCD		SULT1A2			HSPE1		KLF6	KLF6	GLYAT	LYRM4	UGCG			LITAF		TXN2
ATP13A3	HLA-B	B9D1		PSMD12			CGA		TSPAN8	TSPAN8	TMEM256	ATP5F1	ASNA1			PSME1		COX6B1
MMRN2	STAB1	MUC1		SLC22A4			IER5		UCP2	UCP2	NQO2	RAI2	MAPRE1			TMEM59		GHITM
IL19	ISLR	RPL11		HIST1H4J			LMNA		PPIC	PPIC	ADH6	WARS	ZNF561			TGOLN2		DBI
HBE1	GATM	FANCA		OGDHL			SERTAD3		LYG1	LYG1	CXCL14	ARFGAP3	ATRAID			UBB		LAMTOR5
MALAT1	CYP4A22-AS1	TCTN3		C4orf22			PER2		ARID5B	ARID5B	SLC17A3	PAXIP1.AS2	GNG12			FOLR2		SOD1
BSND	CLIP3	RAI1		ZNF568			ADM		EFEMP1	EFEMP1	C1orf115	VPS50	MSN			ZMPSTE24		NDUFB9
HBG1	FST	CISD2		SLC34A3			SOX9		TAGLN	TAGLN	SAT2	ZCCHC6	DOK5			SPTLC1		ELOB
CKAP2L	IER3	IFT172		IBA57-AS1			ID2		FLRT3	FLRT3	ITM2B	CRYZ	C3			PSMC4		COX14
SHROOM3	PLXDC1	RPS10		METTL10			SLC20A1		ITM2A	ITM2A	ACOT7	HADHB	CCL21			PTGR1		MPC2
DACH1	HLA-DRB5	SBDS		PCMTD2			EFNA1		IFITM1	IFITM1	SLC27A2	ANKS1A	TIMP3			ATP5A1		NDUFA8
AC092159.2	HLA-C	STRA6		LIME1			DDX5		A2M	A2M	HAAO	ZNF816	IFITM1			SLC48A1		ATP5L
DUOXA2	SLC22A5	OCLN		TCEA3			AC024451.2		BICC1	BICC1	MAF	TBPL1	IQCA1			POLR2G		SDHD
KCNQ1OT1	ACTN1	LAMB2		DDR1			BCL6		TNFRSF11B	TNFRSF11B	GIPC2	MAK16	ROMO1			ITM2A		COX6A1
MALAT1	VIM	AFF4		TREX1			KRT8		S100A10	S100A10	STAU1	TIMM23	DNAJC3			HNRNPF		ATP5G1
TFPI	BBOX1	PRKCD		HBE1			FILIP1L		UGCG	UGCG	AC092813.2	GALC	EIF6			ABCF2		RNF181
LEAP2	SQLE	SLC34A3		PARG			NXT1		ACTG1	ACTG1	FAH	NDUFB6	TMED9			C5orf15		ATP5J2
MMRN2	HSPB3	MUC1		TMA7			KLF5		CXADR	CXADR	GPD1	LAPTM4B	GLB1			MAPRE1		SARAF
RHOV	ATOH8	CD81		CRCP			RN7SL473P		MUC1	MUC1	CLDN8	ENAM	UBIAD1			LDHA		AKR1A1
CLEC18C	SFTA2	LRIG2		C8orf58			PTP4A1		IL32	IL32	MT.ND5	CEPT1	IRAK4			COMMD9		ATP5E
CALCRL	SULT2B1	SCARB2		RP5-966M1.6			SELENOK		PLSCR1	PLSCR1	AZGP1	GBP3	CALR			ANXA2		UQCR10
RP11-573D15.8	PLEKHA4	BSND		GSTA1			HSD17B7		RAP2B	RAP2B	MT.CO1	ZHX2	C5orf15			POLDIP3		NDUFB3
SYT8	CD37	PKD1		C4A			SRSF3		TM4SF1	TM4SF1	ALAD	SUPT5H	RPL41			BROX		PFN2
MFAP4	PVRL1	GNAS		ZNF260			SOX4		EFNA1	EFNA1	PBLD	SMARCAL1	BLVRA			H2AFZ		ACAA2
MUC1	DUOXA2	DCDC2		TRIM6-TRIM34			ARID5B		ANXA5	ANXA5	SEPHS2	MLLT3	MCAM			LAMP2		PCBD1
IL17B	VAMP5	STX16		RP11-368I7.4			MIDN		S100A6	S100A6	GLUD1	SH3BP4	VCL			STAP1		NDUFA1
AC006994.2	OIP5	LAMB2		DKFZP779L1853			SNHG8		IFITM2	IFITM2	PDZK1IP1	TRAPPC11	SNRPC			GANAB		TIMM10
UPK2	POC1A	SLC37A4		RP4-583P15.14			CEBPB		B4GALT1	B4GALT1	PEPD	ATP6V1A	PDIA6			QARS		NDUFC1
LMTK3	MUC1	ENPP1		RP4-583P15.15			CFAP20		TNFSF10	TNFSF10	SLC2A2	EHF	LRRC75A.AS1			FBLN5		FKBP2
RASGRP1	DPEP1	NSD1					MIRLET7D		ARHGAP1	ARHGAP1	TDP2	MRAS	TXNIP			COPA		NDUFB2
GUCY2C	USP2	CYP17A1					PER1		CALU	CALU	PRNP	GCM1	LAMC2			PIP4K2A		TSTD1
CDH1	RP1-261G23.5	SCARB2					ARG2		UCHL1	UCHL1	NPR3	NDUFA1	CEP68			IMMT		COX7A2
BCL2L14	SLC25A37	GNAS					SNORA70G		MYL12A	MYL12A	CHDH	SOD1	ACTN1			STAU1		SDHB
TPM1	PSMB9	ETFA					C3orf52		CPVL	CPVL	TST	HKDC1	COPZ1			WLS		COX7C
UGT1A1	FXYD3	SLC2A9					ODC1		ACTB	ACTB	DIO1	TSPAN14	FGL2			CCT5		NDUFA2
MRPS6	KCNMA1	SCARB2					RGS3		AKR1B1	AKR1B1	ACO1	CFI	SUMO1			PSMB5		EBP
APLNR	TCF4	TRAIP					GLA		IFITM3	IFITM3	EHHADH	LINC02274	CANX			TRAC		NDUFB11
PGM5	FAM83E	RAD51C					BAG3		SLC35F6	SLC35F6	IDH1	FXYD4	POMP			PCNA		COX8A
PHLDA2	KIF11	KCTD1					IRF1		PKM	PKM	FTLP3	GDAP1	DNAJA1			GLMP		ACMSD
SLC22A2	MYO1C	PIGN					SELE		SDCBP	SDCBP	RBP5	TNFAIP8	PRDX6			MICU1		TMEM141
MDFI	KHK	CISD2					RRAD		S100A16	S100A16	GGT6	SOS1	PCNA			TCTN3		TIMM8B
AFAP1L1	DPEP1	KIF14					CCL2		TXNIP	TXNIP	ABAT	GSS	DNAJC10			ERGIC3		NDUFB7
RP11-536I6.2	CYP26A1	KDM1A					ITPRIP		CTTN	CTTN	FGF1	DCDC2	ZYX			APMAP		SELENBP1
ADAMTSL3	RGS7BP	LRP2					ANXA1		GLUL	GLUL	BHMT	GMPPA	USB1			HTRA1		CAT
TFCP2L1	FSTL4	GNAS-AS1					CXCL3		CAPG	CAPG	SFXN1	CHP1	RNF219			GIMAP7		CISD1
NOSTRIN	PPP1R15A	POR					CHORDC1		PRR15L	PRR15L	CGNL1	MARVELD3	NAA20			TPP1		PEBP1
STAC2	SCARF1	ACTG2					ALAS1		HSPA5	HSPA5	PRR34.AS1	KIN	CCT8			HNRNPA2B1		AIFM1
EHD4	TAL1	ABCC6					ADAMTS1		CPM	CPM	CLIC5	RPRD2	UBA52			PAFAH1B2		COMMD8
EMILIN1	ADAM28	SC5D					ARL4D		ARHGDIB	ARHGDIB	RIDA	SUN1	TNC			PLAT		OAT
COL4A3	TYRO3	SLC34A3					SAT1		LDHA	LDHA	DMGDH	DBI	ANXA3			DCN		NDUFA4
UPK2	BBOX1	COL4A3					DNAJC27		TIMP3	TIMP3	KMO	DANCR	LAMP2			TPI1		GLRX
WDR72	MTURN	CYP11A1					SERPINH1		IFNGR1	IFNGR1	SLC51B	ZNF76	KLF6			CDH16		CAMK2N1
SLC22A18	ADAM15	STX16					YPEL5		CD24	CD24	FTLP2	BTRC	MCU			NPC2		HMGCL
ARHGDIB	C1orf21	SLC34A1					IFIT3		SH3BGRL3	SH3BGRL3	DNPH1	FAM110C	MEA1			SLC25A5		SLC25A5
NEAT1	GATM	SLC37A4					PLK3		GSTP1	GSTP1	FDX1	ALDH1A1	COX6B1			DPYSL2		HIST1H4C
DUOXA1	DDR1	MYCN					ELMSAN1		FGL2	FGL2	CRYM	LRBA	B2M			NUDT2		NAA38
B4GALNT3	COL4A4	DCDC2					UBB		CD63	CD63	SLC6A19	DLG3	TACSTD2			TACSTD2		CRYL1
EGFL7	SQLE	GNAS-AS1					JMJD6		MSN	MSN	SLC16A9	QTRT2	SERINC1			TM9SF4		USMG5
AF127936.7	STAB1	CAD					AC011939.1		RHOA	RHOA	SMIM24	ZNF790.AS1	ANXA4			CAPZA1		COX5B
BCAS1	FIBIN	LRP4					ITPKC		IMPDH2	IMPDH2	PGRMC1	AP1M2	CBX6			EYA3		PHYH
SLC26A6	FOLR1	CDKN1C					NOCT		CAP1	CAP1	AC064807.2	KIZ	ARHGDIB			C14orf119		CUBN
FOXD2	TUBB	SMAD3					MPZL3		PIGT	PIGT	KHK	AK8	RPL10			ERH		HIST1H1C
AGXT2	HLA-C	AGPAT2					BIRC3		LAPTM4A	LAPTM4A	RGN	CPSF2	ARF1			SLIT2		TMEM120A
ANXA9	ACADL	RPS10					TNFRSF10D		XRCC5	XRCC5	QPRT	GPR143	ARHGAP1			SNX2		ATP5J
EMID1	MTRNR2L8	LAMB2					FOSL2		UBC	UBC	ASB9	GAPDH	DUSP22			OGDHL		FAHD1
SLC6A12	DUSP7	TRAIP					HSPD1		H3F3B	H3F3B	ALDH2	SMPDL3B	CSNK1G1			HSPA5		ATPIF1
PROCR	COX5A	CREBBP					KRT18		HNRNPF	HNRNPF	RDH12	LAMTOR5	BRD7			SH3BGRL		ETFA
TAC3	ALS2CL	OCLN					THBS1		TMSB4X	TMSB4X	PSAT1	MECOM	SBDS			SRPRA		ACSL1
ART4	RP5-966M1.6	WNK1					MRPL18		ARL6IP5	ARL6IP5	ACSM2A	IVNS1ABP	DYNLT1			HDAC1		SLIRP
DSP	NRIP2	POR					AVPI1		B2M	B2M	PIPOX	SLC38A1	EIF4A2			FHL1		RTN4
NUF2	TPD52	LAMB2					OASL		HSP90B1	HSP90B1	MT1X	NPAT	RIF1			LIPA		NDUFAB1
TBX2	CA12	NSD1					RHOU		CD9	CD9	ACADSB	VHL	MMADHC			CTSS		OGDHL
TBX2	VAMP5	BSND					HSD17B7P2		ENO1	ENO1	GLRX5	PIP5K1A	DNAJC8			TSPAN6		ALDH7A1
CEP55	MRPL33	CISD2					DCUN1D3		DDOST	DDOST	CYP4F2	JOSD1	AXL			PIP4K2C		MAOB
ARHGAP18	HOXA1	AFF4					AGR3		PPP1CB	PPP1CB	ACOX2	MTCO1P40	NCSTN			ATP6V1D		IGFBP4
CDH1	ERBB2	RPL11					GPR183		RPLP0	RPLP0	RNF152	MYO9A	VAMP3			PCYOX1		ACAT1
RCN3	GATM	CPT1A					TRAF4		CD59	CD59	MT.ND6	HPCAL4	EZR			LCP1		PAQR7
PDZK1IP1	C15orf62	LCAT					BCL10		ARF4	ARF4	PLA2G12B	LINC00963	EIF3D			LCMT1		TMEM176A
IGFBP2	MTRNR2L8	AFF4					MLF1		C6orf62	C6orf62	LINC01510	SOX9	DESI2			CNBP		SMIM6
FOSL1	SORD	SLC2A9					ZBTB21		SDC4	SDC4	GK	THAP3	HIGD2A			ANXA6		MAOA
CLCNKB	GNLY	SMARCAL1					STK17A		PTMA	PTMA	MT.ND4L	ZNF57	UBE2L6			NCOA4		UQCR11
ABCA4	RP11-60L3.1	TTC8					WTAP		RPS19	RPS19	SLC3A2	NVL	EEF1B2			MCM3		ACADM
GAS2L1	FST	SBDS					RND1		RACK1	RACK1	MTATP6P1	PIK3R4	RPS4X			DNAJC3		COX6C
SEMA3G	RAD51	ETFA					AHSA1		PSME1	PSME1	SLC7A9	ZNF827	TCEAL4			SGK1		ALDH8A1
CALCRL	SPINT1	COL4A3					CCL8		MYL12B	MYL12B	ERRFI1	ATP5B	EFEMP1			NUDT19		GALM
ERP27	RASIP1	CDKN1C					AC072022.1		HSP90AB1	HSP90AB1	MT.TH	NTRK2	PDGFB			LGALS1		SLC37A4
SLC5A3	FMO1	SLC34A3					C11orf96		RPL3	RPL3	QDPR	PTPRM	AMOTL1			TMED10		GSTO1
PHLDA3	MRVI1	DCDC2					AC122718.1		PRDX5		GGH	RBBP8	PRR15L			NUTF2		UQCRQ
COL4A4	RRAS	CYP11A1					ZBTB5		HINT1		DDC	ZNF562	APMAP			PDHB		POLDIP2
ARHGAP18	SERPINF1	SBDS					COX19		COX4I1		MT.TR	LRRC59	RAN			EIF6		CLRN3
NRIP2	CAPG	RAI1					ZBTB2		HSP90AA1		GPR137B	UBXN10	TMEM39A			CDC123		NAT8
PRDX2	ACOXL	COL4A4					CLUHP3		TXN2		MT.ND2	PIP4K2C	SGPL1			GPI		ATOX1
SPTBN1	VIM	CNNM2					GIMAP7		COX6B1		MT.CYB	NUP214	EXOC3			B4GALT3		METTL7B
EPS8	GRB7	RPS10					MT.TS2		GHITM		FUOM	AJUBA	CTSC			RAP2B		HADH
SH3GL3	ERBB2	CD81					GOLIM4		DBI		MT.ATP8	RFC4	PARK7			VIM		ECHS1
AGMAT	FMO4	MYCN					FGF1		LAMTOR5		XPNPEP2	STIM1	KMT2A			MYL12B		RPS27L
VCAM1	FOLR1	RPS10					IFI6		SOD1		AGXT2	UGT1A6	ATF7			HSP90B1		HIBCH
CCNI2	HLA-DRB1	MUC1					CLDN8		METTL7A		AL031316.1	NOP58	SLC15A4			ILF2		TMEM27
RP11-7K24.3	ST3GAL5	TCTN3					NDUFB3		NDUFB9		SLC34A1	C5orf67	FAU			THYN1		CYB5A
VEGFA	RASIP1	SLC7A9					S100A8		ELOB		MSRA	KMT2C	YWHAZ			AARS		HSPE1
CASR	RHOV	FGF10					EMCN		COX14		MME	MPPE1	NCOA4			CTNNA1		EPHX2
PIGR	AGR2	MUC1					CLIC5		MPC2		LINC01506	ASTE1	CAPZA2			C1R		ALDH3A2
PPM1E	MAT2A	RPGRIP1L					PODXL		NDUFA8		SUCLG1	BBIP1	STMN1			SRSF6		LYPLAL1
CYP17A1	PRKCD	CD81					COX7B		ATP5L		AL121992.3	MEF2A	TRIM25			CLDN7		TMEM52B
RP4-735C1.6	HSD17B14	CDC5L					KBTBD7		SDHD		PCK2	PIGA	EIF4ENIF1			BLVRA		EPHX1
ARHGEF25	PDZK1IP1	SLC37A4					CRIM1		COX6A1		DEFB1	LINC00665	LGALS3BP			GOT1		HAO2
TRIM29	DNAJC1	RPL11					NDUFA4		ATP5G1		MT.CO2	CHST3	TES			SRP14		USP2
NRARP	HLA-DMB	TRAP1					EID1		CA12		MT.RNR1	VBP1	GANAB			RPN1		BHMT2
PNMT	HPN	SCARB2					SMIM30		RNF181		MT.ND4	ZNF570	HSPA8			APOBEC3C		SUCLG2
MUC1	RAB3IP	EFEMP2					SULF1		ATP5J2		TM4SF5	C1orf131	AIF1L			RACK1		BORCS7
TMEM204	HOXA11	ABCC6					REN		SARAF		HSD17B14	ALG6	PSAP			STMN1		SLC6A13
IL1A	MAP4	ETFA					COX6C		AKR1A1		MT.ATP6	TBCK	GRN			NOP10		ST3GAL1
CBR1	EXOC6	PKHD1					SRP9		ATP5E		MT.TF	UQCR10	S100A14			ATP1A1		COX5A
FMO1	EHD4	DCDC2					ITM2A		UQCR10		SLC7A7	KLHL28	SNU13			RPL3		SNX4
DHDH	FXYD3	SLC2A9					UBR5.AS1		NDUFB3		TSPAN33	ISY1	EGFR			PLS3		LGALS2
CD34	DNM3	RAI1					SCARNA9		PFN2		SLC13A3	LINC00324	CXADR			LMBRD1		ALDH6A1
UGT1A9	C5orf56	CREBBP					PDPK1		ACAA2		AP000763.2	SMYD3	YWHAB			DGUOK		ECI2
ST6GAL1	STARD3	TRAP1					FBXO9		PCBD1		SMPDL3A	YARS	APOBEC3C			RHOBTB1		AK4
AC012499.1	BBOX1	PKD1					RNU4.2		SNHG8		AC116345.3	NUP160	TMEM179B			RTCB		NET1
EML1	ACTN1	MMACHC					RNU6.287P		NDUFA1		MT.TS2	ZNF284	LITAF			EIF3L		SELENOP
C1orf64	LOXL1	RPL11					HIST1H3D		TIMM10		RNF186	UGT8	VDAC3			GPNMB		HNF4A
TMEM252	RAB3IP	SCARB2					U1		NDUFC1		ERICH4	LDHB	GNG5			SDF2		WDR72
UQCRH	HERC1	ICK					GADD45G		FKBP2		MT.TG	TNFSF15	PLS3			CCT7		IQGAP2
UPK2	CLDN11	RPGRIP1L							NDUFB2		SLC22A12	VTI1A	ARPC1A			MAD2L1BP		TM7SF3
SIM2	GLYCTK	TCTN3							TSTD1		UPB1	CCDC65	UCP2			SDCBP		SLC9A3R1
PDE1A	FNIP1	PKD1							COX7A2		AC098934.1	CKAP5	TMBIM1			TMBIM6		ENPEP
PDLIM1	DUOX2	SC5D							SDHB		AL512646.1	IFT122	SEL1L3			LMAN2L		UPP2
PDZK1IP1	MAG	MUC1							COX7C		LINC02294	SRPRB	LIX1			NDUFS2		GLYAT
KCNK10	CSRP1	FUZ							NDUFA2		G0S2	ACSL5	ITGA3			CNPPD1		TMEM256
AGR2	CAPG	GCDH							EBP		MT.TS1	PLA1A	VRK2			ATP6V0D1		NQO2
SLC7A9	FOXD2-AS1	CENPF							NDUFB11		CMBL	NIPSNAP3A	CDH3			VDAC3		SLC17A3
ANTXR2	NT5DC2	EHHADH							COX8A		MT.TD	PTER	THOC1			UROD		SAT2
CD81	MOCS2	FUZ							ACMSD		TMEM174	SRP54	GORASP1			TMEM52B		ITM2B
CELSR2	FTL	RAD51C							TPT1		MT.TL1	B3GNT7	NEK9			MCRS1		ACOT7
CTTNBP2NL	FMO2	BRIP1							TMEM141		AGMAT	ENTPD6	ORAI2			PFKM		SLC27A2
P4HA2	PTH1R	EHHADH							TIMM8B		AC006159.2	TBCCD1	ANGEL2			LIMA1		HAAO
MROH2A	TMEM150A	NSD1							NDUFB7		DPYS	ZNF761	ZNF620			TCP1		MAF
PAPPA	PRKCD	GNAS-AS1							SELENBP1		ACSM2B	ZNF883	OTUD7B			CAP2		GIPC2
DLK2	DUSP15	FANCA							CAT		KLK1	ZNF559	MRPL18			CBX5		STAU1
SOX18	C1orf106	POR							CISD1		SFXN2	ERBB4	CEP162			DYNLT1		FAH
SHH	KHK	DCDC2							PEBP1		MT.TM	CEP19	EMP2			COPB2		GPD1
RERG	MCAM	IFT172							AIFM1		SLC22A6	BTN3A1	TRAPPC1			CXADR		CLDN8
TSPAN13	RP11-548P2.2	SF3B4							COMMD8		MT.ND1	ATP2A2	SEPT2			RPA2		AZGP1
DUOXA1	STAC2	AGPAT2							OAT		NECAB2	LGALS4	PBDC1			SEC24C		ALAD
ANKFN1	CPNE7	WNK1							NDUFA4		LINC00853	TNRC6A	COX4I1			DAZAP2		SEPHS2
CSTA	CTD-2639E6.9	ETFA							GLRX		SLC12A3	ORC2	SPRYD3			S100A6		GLUD1
MGP	ITIH4	IFT172							CAMK2N1		C9orf66	MACF1	PLK2			SGCE		PDZK1IP1
OXER1	HHEX	MMACHC							HMGCL		CTSV	SRP68	MRPL51			KPNA2		PEPD
SOX18	CCND2-AS1	OCLN							SLC25A5		PTH1R	CLDN2	SLC20A2			VAMP3		SLC2A2
DNM3OS	PKP1	ICK							HIST1H4C		ASS1	MRPL44	A2M			EIF3D		TDP2
CTGF	CAPG	KCTD1							NAA38		EAF2	RNF216	STT3A			HNRNPH2		PRNP
PLAC9	TAP2	GNAS-AS1							CRYL1		MT.CO3	CCDC93	ACTA2			AGA		NPR3
LIPH	INPP5K	KCTD1							USMG5		CTXN3	PIGN	RNF144B			ARF4		CHDH
RP11-251M1.1	AC017002.1	NARS2							COX5B		KL	FNTB	COPS6			NOLC1		TST
WARS	DUOX2	CLCNKB							PHYH		SLC5A12	AP001157.1	EAPP			CDC42		DIO1
DEGS2	KCNK17	CYP11A1							CA2		MT.RNR2	TTC8	CYTOR			RBM22		ACO1
ETNPPL	DMKN	CYP11A1							CUBN		MIOX	URGCP	TMED2			ATP5F1		EHHADH
CLCNKA	SCARF1	ACTG2							C14orf2		ACSF2	TMEM45B	SYT11			SUPT4H1		IDH1
TRIM29	RP11-548P2.2	WNK1							HIST1H1C		REN	TGIF1	RAB11A			GSTP1		GGT6
EPS8	SPHK2	KCNA1							TMEM120A		MT.TL2	AQP1	REV3L			SLC38A2		ABAT
OGDHL	FAM129A	KCNA1							ATP5J		CYP4F3	GPATCH8	ELOB			PDZD11		FGF1
NAT8	C6orf223	FGF10							FAHD1		APOC3	SCGN	OSER1			TMSB10P1		BHMT
SPINT1	VIM	LRP4							ATPIF1		COTL1	C2orf42	TMEM55B			ARPC1A		SFXN1
IL1A	DNM3	FGF10							ATP5I		FAM151A	NAMPT	RAP2B			EIF4A2		CGNL1
TCF21	TNXB								ETFA		LINC01874	ELAC1	CEP63			PISD		CLIC5
CTA-989H11.1	FXYD5								ACSL1		MTND2P28	TTC12	FRMD8			AC104237.3		RIDA
EPS8	WDR12								SLIRP		AC006441.4	MED1	ZFP3			MIF4GD		DMGDH
DAB2	TCF19								RTN4		ALDH4A1	HAUS2	KIAA0907			SF3A3		KMO
NPDC1	FSTL4								NDUFAB1		CRABP1	ZBTB14	RNF213			SNX27		SLC51B
FAM129A	HLA-DQB1								OGDHL		MARC2	TMX2	CNOT10			CALCOCO2		DNPH1
SPECC1	LOXL1								ALDH7A1		HPGD	ZNF670	TLR5			CALU		FDX1
SPTBN1	MAPRE3								C11orf54		SLC4A4	THOC6	LYN			NFKBIA		CRYM
FKBP9	FTL								MAOB		MTND1P23	SLC5A1	PSMB7			RAN		SLC6A19
HES1	FXYD3								IGFBP4		AC137056.1	KLHL18	RNF216P1			SNW1		SLC16A9
IFI44L	TPM1								ACAT1		GATM	RN7SL8P	PGD			BLOC1S3		SMIM24
RNF152	ASH1L								PAQR7		MT.TE	HPRT1	DEPTOR			PSMB2		PGRMC1
MST1	TRABD2B								TMEM176A		SLC7A8	SELENOT	SNRPD3			ZNF710.AS1		KHK
GALNT11	PDLIM4								SMIM6		CYP2B6	USP22	HECA			MED8		RGN
SLC22A13	NEIL1								MAOA		SLC36A2	PPP4R1	ERGIC3			IVNS1ABP		QPRT
ENTPD1	GCHFR								UQCR11		MT.ND3	MDH1	C1GALT1C1			PSMG2		ASB9
STAB1	DMKN								ACADM		AFM	CAPSL	SLC48A1			DPAGT1		ALDH2
RP11-800A18.4	UQCRQ								COX6C		ASPDH	FBXO38	BANF1			ECH1		RDH12
ISLR	TNF								ALDH8A1		ANGPTL3	IRGQ	PSMB4			AP2B1		PSAT1
PPARGC1A	SHROOM3								GALM		PRAP1	GDAP2	SLC26A2			APLP2		PIPOX
GATM	ADAM28								SLC37A4		PRODH2	ATP5A1	PGK1			ERAL1		ACADSB
GMNN	TTBK1								SNHG25		SLC22A8	TXNDC11	RCC1			SYPL1		GLRX5
MST1	GPR160								KIAA1191		MRO	MRE11	AC020916.1			BLNK		ACOX2
CR1L	RAB3IP								COX7B		PAH	SSBP2	LAPTM5			NOP56		RNF152
DCDC2	MTRNR2L8								GSTO1		AFP	PKHD1	CCT7			INMT		GK
KCNQ1OT1	PDZK1IP1								UQCRQ		FBP1	MID1	SLC25A37			ABRACL		SLC3A2
SMAD6	PSMB9								POLDIP2		DAO	CLCC1	SETD5			CSTF1		SLC7A9
KCP	LTB								CLRN3		MT.TY	HELZ	AZIN1			LDHB		ERRFI1
CYB5R3	GPR160								NAT8		GPAT3	PDCD11	PSME2			NDRG3		QDPR
CYP4A22-AS1	VAMP5								ATOX1		ALB	TRIM4	SLC40A1			CD53		GGH
SMCO3	SHROOM3								METTL7B		NOX4	TRAK1	AC093673.1			RBMX		DDC
HES1	SCARF1								HADH		MT.TV	ANKRD54	SERINC3			TSPYL1		GPR137B
CLIP3	LYVE1								ECHS1		MTRNR2L12	FBXW2	PSMC3			CCT2		FUOM
FST	KRTCAP3								RPS27L		MT.TP	UBE3B	MRPS21			TALDO1		XPNPEP2
APOL3	COL4A4								HIBCH		MT.TT	ZNF16	NUTF2			PEX11B		AGXT2
DEGS2	ADAM15								TMEM27		GSTA1	SPINT2	QPCT			PSMB7		SLC34A1
SLC9A3R2	PDLIM4								CYB5A		ALDOB	ZNF133	XRN2			FLRT3		MSRA
CHRNA4	NR5A2								MT1XP1		SPINK1	SLC2A1	CD151			SULT1C4		MME
PLXDC1	NOTCH4								HSPE1		APOE	PRRG1	UFC1			PLSCR1		SUCLG1
SPTBN1	AGR3								EPHX2		CYP27B1	ANKRD42	MAP4K4			COPS6		PCK2
LIPH	TNXB								ALDH3A2		NPL	POLH	SAP30L			FOXP1		DEFB1
SLC2A4RG	EMP3								LYPLAL1		MT.TN	NDUFB9	CXCL1			ARFGAP2		TM4SF5
DCDC2	EMILIN1								TMEM52B		UGT2B7	GPR107	FKBP14			YWHAZ		HSD17B14
KCP	ZFP36L1								EPHX1		DPEP1	LHFPL3.AS2	CNPPD1			KPNA6		SLC7A7
SLC22A5	VEGFA								HAO2		APOH	MPP6	KIRREL1			COPS7A		TSPAN33
SLC6A12	HLA-DOA								USP2		GPX3	TTC25	PREP			GDI2		SLC13A3
RASD1	HLA-B								BHMT2		MT.TC	NAV2	ITM2C			SLC35A4		SMPDL3A
THRSP	FMO2								SUCLG2		MRLN	KCNJ1	WDR70			DDB1		RNF186
NPDC1	IRF1								BORCS7		AL356364.1	YPEL2	MCM4			TROVE2		ERICH4
WNK1	NRG4								SDC1		PROZ	UBE4B	PRDM2			GLA		SLC22A12
RNASEH2A	AC007950.1								TPRG1L		MT.TI	ARHGAP35	IFT81			ATP6V1E1		UPB1
PTGFR	AFF4								SLC6A13		GSTA2	AC011477.2	NARF			IK		G0S2
SQLE	RP11-60L3.1								NDUFB1		AOC1	FYCO1	MERTK			MDH1		CMBL
AQP3	HLA-DMB								ST3GAL1		LINC02121	TMX3	UBR1			PMP22		TMEM174
TNNI2	GALNT16								COX5A		HPD	EPHA7	GNE			SH3BGRL3		AGMAT
PTK6	ZFP36L1								SNX4		RNF212B	CLDN16	RICTOR			MRPL49		DPYS
THRSP	FXYD3								LGALS2		FABP1	TOMM22	ZNF567			ESYT1		KLK1
HSPB3	SMIM4								SCARNA22		MTCO1P53	RGS14	ZMYM1			POLR1C		SFXN2
