pval	A	s.t..oConditionAKI	s.t..oConditionRef	gene	fdr
1.29084564205649e-22	0.0124414531336631	3.96430067689524e-06	0.0208828328384966	ABRAXAS1	3.39479495404436e-18
1.50431009581575e-107	0.107291244589658	0	0	ABTB2	4.52872554345333e-103
2.25533889609273e-34	0.0139070553513489	0	0.443537983129892	AC001226.2	6.22608855655359e-30
1.21414603296019e-129	0.0439940978628833	4.36008232352347e-05	0.0786519459467014	AC002401.1	3.68566169765394e-125
2.31085949962352e-65	0.0278413465646667	0	0	AC002429.2	6.7470164810508e-61
7.63638106853671e-78	0.0772432985103954	0	7.59202460343111e-08	AC003984.1	2.25609242288849e-73
1.14992370402602e-170	0.187323049852985	0	0	AC004053.1	3.52739096209982e-166
0	0.300774310426738	0	0	AC004485.1	0
3.02193203141364e-132	0.06057350177764	0.00699655390827741	0.00020718300183814	AC004540.1	9.18244267065348e-128
1.25813699944211e-35	0.0120262901159985	0	0.313586607520543	AC004594.1	3.48592018435427e-31
9.16021790884617e-96	0.056030651316737	0	0	AC004870.3	2.73991277871498e-91
7.50489772901453e-72	0.054087966834144	0	0	AC004870.4	2.20561439358008e-67
4.51164133054632e-37	0.0240605176362943	0.000954940139238303	0	AC004889.1	1.25599583001079e-32
3.90370810384101e-20	0.0210299096493953	0.00171524837406417	0.00307971696620796	AC004943.2	1.01109943597586e-15
2.02809069745776e-11	0.0172387218453884	0.000128644630994101	0.11212107999464	AC005154.6	4.82726147808895e-07
1.80920174354496e-13	0.0252430906861988	0	0	AC005162.3	4.43019230941853e-09
1.25617423563577e-124	0.118486634818073	0	0	AC005208.1	3.80721287336489e-120
9.40573682451258e-13	0.0115621153990516	0	0.235124863817364	AC005480.1	2.28258421257271e-08
0	0.20651067735229	0	0	AC005699.1	0
0	0.221746284753209	0	0	AC005726.1	0
2.64519597061834e-40	0.0165604074778741	3.63468031844283e-06	0.00246816820465989	AC005920.2	7.4269167267051e-36
1.69192077692356e-119	0.031435092163265	0	0.0992795101715266	AC006059.1	5.12059823135915e-115
2.18401848310125e-166	0.0500577725260094	0	0	AC006159.2	6.69226943591886e-162
3.33640837553862e-311	0.114969142065134	0	0	AC006305.1	1.04075922866552e-306
4.677976289108e-12	0.0111172194436831	0	0.000447811317569158	AC006480.2	1.12425804156133e-07
9.10535709041128e-37	0.0136032673003814	0	0	AC006960.2	2.53210875327247e-32
4.4793120164697e-23	0.0353622223531361	0	0	AC006978.2	1.18132895810355e-18
